Time (s),Energy Decay (dB)
0.0,0.0
6.25e-05,-0.00019118771027924424
0.000125,-0.0009386592729508957
0.0001875,-0.0012143637539492554
0.00025,-0.0018694334550141464
0.0003125,-0.0022226865769975537
0.000375,-0.002781588947328402
0.0004375,-0.003198869168357681
0.0005,-0.0036919819608394093
0.0005625000000000001,-0.004214454547277732
0.000625,-0.004588447846633742
0.0006875,-0.005143134842483259
0.00075,-0.005469670500858979
0.0008125000000000001,-0.0061400317623020555
0.000875,-0.006358995993176255
0.0009375,-0.00704490774253372
0.001,-0.007216309013207337
0.0010625,-0.007984917125167348
0.0011250000000000001,-0.008086255035664491
0.0011875,-0.008871438398428626
0.00125,-0.008930571600166227
0.0013125,-0.009737778999905087
0.001375,-0.00976630600072332
0.0014375,-0.010606340775167332
0.0015,-0.010611375856277793
0.0015625,-0.011411110582524692
0.0016250000000000001,-0.011411336067177287
0.0016875,-0.012245728324791198
0.00175,-0.012254521046232755
0.0018125,-0.013008543594566067
0.001875,-0.013029121163503955
0.0019375,-0.01378752757808733
0.002,-0.013844979588603815
0.0020625,-0.014525340251632416
0.002125,-0.01461473186389188
0.0021875,-0.01525050672749659
0.0022500000000000003,-0.015386709514110619
0.0023125,-0.01596513535963122
0.002375,-0.016160012322611095
0.0024375,-0.01665415355107319
0.0025,-0.016889005182243323
0.0025625,-0.01734529428023418
0.002625,-0.01766722935163545
0.0026875000000000002,-0.018018757641622328
0.00275,-0.018368438130899393
0.0028125,-0.018682687302045572
0.002875,-0.01912111745079332
0.0029375,-0.019349132468983787
0.003,-0.019820481922421675
0.0030625,-0.020002210711312557
0.003125,-0.020541175971635163
0.0031875000000000002,-0.020664814768412906
0.0032500000000000003,-0.021250648587332444
0.0033125,-0.02132616873211028
0.003375,-0.021936254175946367
0.0034375,-0.021982756475635933
0.0035,-0.022655151662755578
0.0035625,-0.022669080495785754
0.003625,-0.02332643944415633
0.0036875000000000002,-0.023330704876679435
0.00375,-0.02404517629795648
0.0038125,-0.02404673992358905
0.003875,-0.02472645805808266
0.0039375,-0.024736662343092818
0.004,-0.02543468801859348
0.0040625,-0.0254726001223924
0.004125,-0.026138122959826225
0.0041875,-0.026212809081931878
0.00425,-0.026845517712148544
0.0043125,-0.026967082438374285
0.004375,-0.027576191267881113
0.0044375000000000005,-0.027775454843190894
0.0045000000000000005,-0.028300964387784205
0.0045625,-0.028553411560874004
0.004625,-0.029051840625765425
0.0046875,-0.0294156835422485
0.00475,-0.029813220806160168
0.0048125,-0.03023906067679204
0.004875,-0.030588600022936195
0.0049375,-0.03112974746904949
0.005,-0.0313929490324051
0.0050625,-0.032016134549707274
0.005125,-0.03221225479119293
0.0051875,-0.03292313355713359
0.00525,-0.03305812008872126
0.0053125,-0.03386330099092327
0.0053750000000000004,-0.033936884843934687
0.0054375000000000005,-0.0347842781765954
0.0055,-0.03482451410404389
0.0055625,-0.035767583760414626
0.005625,-0.035774870211585735
0.0056875,-0.03671321819709767
0.00575,-0.0367133499050713
0.0058125,-0.03771054322119515
0.005875,-0.03772108321576821
0.0059375,-0.03868882375010491
0.006,-0.03872422661610382
0.0060625,-0.0396834597846018
0.006125,-0.03976391812398408
0.0061875,-0.040690940875365636
0.00625,-0.040836125595299505
0.0063125,-0.04169594164635069
0.0063750000000000005,-0.04190729687792187
0.0064375000000000005,-0.04272639914680014
0.006500000000000001,-0.043044511869150995
0.0065625,-0.04374601879819809
0.006625,-0.04413224084212243
0.0066875,-0.04478110011343093
0.00675,-0.04529133622834417
0.0068125,-0.04582194250824845
0.006875,-0.04640832486019367
0.0069375,-0.046865328237734864
0.007,-0.04756213456375241
0.0070625,-0.04792380712866806
0.007125,-0.04871041443945596
0.0071875,-0.04898572550840291
0.00725,-0.04984235634733714
0.0073125,-0.05005369050255133
0.0073750000000000005,-0.05101658850279264
0.0074375000000000005,-0.05114549709126511
0.0075,-0.052127369796985366
0.0075625,-0.052215153119737234
0.007625,-0.053277485524920024
0.0076875,-0.053316390832296334
