Time (s),Energy Decay (dB)
0.0,0.0
6.25e-05,-9.042748714932174e-05
0.000125,-0.0015164998783473889
0.0001875,-0.0015519006741467542
0.00025,-0.0029942395134535636
0.0003125,-0.00300099434887227
0.000375,-0.004428688440827426
0.0004375,-0.00442874154395087
0.0005,-0.005887022937092925
0.0005625000000000001,-0.005904860980064559
0.000625,-0.007263135450814184
0.0006875,-0.007305519036744798
0.00075,-0.00867508008222054
0.0008125000000000001,-0.00878517198214355
0.000875,-0.010022341746402591
0.0009375,-0.010185131814374197
0.001,-0.011377132515156723
0.0010625,-0.01163681451094082
0.0011250000000000001,-0.01270449824207277
0.0011875,-0.013051667446089502
0.00125,-0.014011552992597955
0.0013125,-0.014452663990546736
0.001375,-0.015320295514941592
0.0014375,-0.015892266191836125
0.0015,-0.016607117974050685
0.0015625,-0.017252488500500096
0.0016250000000000001,-0.01789110090126581
0.0016875,-0.018689239077842985
0.00175,-0.019174103942363064
0.0018125,-0.020027835118516947
0.001875,-0.020440445551489793
0.0019375,-0.021439539607527654
0.002,-0.021728275653556492
0.0020625,-0.022786734269627074
0.002125,-0.022995838302366352
0.0021875,-0.02413317987413498
0.0022500000000000003,-0.024271585045724065
0.0023125,-0.025495609083368165
0.002375,-0.025565280798116367
0.0024375,-0.026792864358208737
0.0025,-0.02683052009650444
0.0025625,-0.02814952620934445
0.002625,-0.02815492016172326
0.0026875000000000002,-0.029434318077920324
0.00275,-0.029434322864409116
0.0028125,-0.030768816792704462
0.002875,-0.03078212617926743
0.0029375,-0.03206040234822906
0.003,-0.03209974875646088
0.0030625,-0.03336569982213393
0.003125,-0.0334548115721102
0.0031875000000000002,-0.03467627344997665
0.0032500000000000003,-0.03483874877732502
0.0033125,-0.03596283763637649
0.003375,-0.03619324555032767
0.0034375,-0.03727268890943735
0.0035,-0.03762078229826896
0.0035625,-0.038563357026357374
0.003625,-0.03899182938658044
0.0036875000000000002,-0.03987669806139415
0.00375,-0.040459217393079755
0.0038125,-0.04119098726804418
0.003875,-0.041870644919318425
0.0039375,-0.04250789111664873
0.004,-0.043331758215943386
0.0040625,-0.0438420408664625
0.004125,-0.04479013984538301
0.0041875,-0.04518055008200228
0.00425,-0.046227775824395606
0.0043125,-0.04652825415763023
0.004375,-0.047721084499369605
0.0044375000000000005,-0.04790872074588558
0.0045000000000000005,-0.04915437819297126
0.0045625,-0.04927835722023482
0.004625,-0.05065059503373357
0.0046875,-0.05070128711439984
0.00475,-0.05208273811498114
0.0048125,-0.05210070430261776
0.004875,-0.05354833830927219
0.0049375,-0.05354848673655738
0.005,-0.054981696644488764
0.0050625,-0.054990458684852854
0.005125,-0.05640575228810617
0.0051875,-0.05644578565504427
0.00525,-0.057836436021333135
0.0053125,-0.05794060742734697
0.0053750000000000004,-0.05921833523498618
0.0054375000000000005,-0.059384195123697796
0.0055,-0.06061701539869007
0.0055625,-0.060896438737073774
0.005625,-0.06197387659811166
0.0056875,-0.062335045496315626
0.00575,-0.06333380532980397
0.0058125,-0.06383182624758339
0.005875,-0.06468089164475344
0.0059375,-0.06529198672065747
0.006,-0.06601207833387929
0.0060625,-0.06674224242189489
0.006125,-0.06733815323660793
0.0061875,-0.0682012323178951
0.00625,-0.06865321060123815
0.0063125,-0.06959726690110206
0.0063750000000000005,-0.0699512922586089
0.0064375000000000005,-0.07102234509121937
0.006500000000000001,-0.0712537197690053
0.0065625,-0.07236299981944225
0.006625,-0.0725230879511456
0.0066875,-0.07372226046117376
0.00675,-0.07380543291844237
0.0068125,-0.07501966293338291
0.006875,-0.07505887982184677
0.0069375,-0.07630784761632482
0.007,-0.07631667915817152
0.0070625,-0.07756088645798126
0.007125,-0.07756094324979426
0.0071875,-0.07876469038889147
0.00725,-0.07877320427881998
0.0073125,-0.07996284189520905
0.0073750000000000005,-0.08000256868375037
0.0074375000000000005,-0.08109755884872012
0.0075,-0.08117005700432237
0.0075625,-0.08222985184759003
0.007625,-0.08236625400473757
0.0076875,-0.08331284045577524
0.00775,-0.08350210229159707
0.0078125,-0.0843764414248806
0.007875,-0.0846422132349768
0.0079375,-0.08540960518904352
0.008,-0.08574547814864061
0.0080625,-0.08641294444914087
0.008125,-0.0868174785141179
0.0081875,-0.0873983009819488
0.00825,-0.08789208308721429
0.0083125,-0.08835283502012994
0.008375,-0.0888882087104019
0.0084375,-0.08928054570353555
0.0085,-0.08990218812831341
0.0085625,-0.09019045642205765
0.008625,-0.0908376960362199
0.0086875,-0.09106411096695208
0.00875,-0.09176497914051115
0.008812500000000001,-0.09192260372895364
0.008875000000000001,-0.09264768371636384
0.008937500000000001,-0.09275311936725747
0.009000000000000001,-0.0934943197125804
0.0090625,-0.0935595644267062
0.009125,-0.09431730626542213
0.0091875,-0.09434802174848934
0.00925,-0.09507903050159651
0.0093125,-0.09509373017279946
0.009375,-0.09583395731210088
0.0094375,-0.09583577929442465
0.0095,-0.09653020631361894
0.0095625,-0.09653024407722896
0.009625,-0.09721411035511308
0.0096875,-0.09721979405759805
0.00975,-0.09785126838300065
0.0098125,-0.09786642462160994
0.009875,-0.09845886768859691
0.0099375,-0.09848778125063033
0.01,-0.09904180070482876
0.0100625,-0.09908973804504105
0.010125,-0.09958961766608268
0.0101875,-0.09965191937298126
0.01025,-0.10012315329365475
0.0103125,-0.10021190331717318
0.010375,-0.1006227031297702
0.0104375,-0.10072362707808757
0.0105,-0.10110528923128353
0.0105625,-0.10123026197022489
0.010625,-0.10156301446276342
0.0106875,-0.10169850053088138
0.010750000000000001,-0.10200632141549854
0.010812500000000001,-0.10216368440283001
0.010875000000000001,-0.10243409922859775
0.010937500000000001,-0.10260587144520389
0.011,-0.10284339812621263
0.0110625,-0.10302178651707078
0.011125,-0.10324429698382466
0.0111875,-0.10344564457451229
0.01125,-0.1036362364910718
0.0113125,-0.10384124229904847
0.011375,-0.10402237909679177
0.0114375,-0.10425393437750723
0.0115,-0.10440675562319165
0.0115625,-0.10464392326639595
0.011625,-0.10478505929012573
0.0116875,-0.10504232245184641
0.01175,-0.10516555540814451
0.0118125,-0.10543762486456705
0.011875,-0.1055466956244108
0.0119375,-0.1058348939138485
0.012,-0.10593400776335815
0.0120625,-0.10625407786863288
0.012125,-0.1063328419861402
0.0121875,-0.1066647939972532
0.01225,-0.10673426173647894
0.0123125,-0.10710076299782381
0.012375,-0.10715156630726902
0.0124375,-0.10752979687883568
0.0125,-0.10757112136269238
0.0125625,-0.10797955015902541
0.012625,-0.10800770156895459
0.0126875,-0.10843548905528275
0.012750000000000001,-0.10845400813295014
0.012812500000000001,-0.10890324144331542
0.012875000000000001,-0.10891428479066426
0.012937500000000001,-0.10939384946728878
0.013000000000000001,-0.10939779476957906
0.0130625,-0.10989276157871089
0.013125,-0.10989367703780745
0.0131875,-0.1104239520047274
0.01325,-0.11042439705901252
