Time (s),Energy Decay (dB)
0.0,0.0
6.25e-05,-8.211718541663037e-05
0.000125,-0.00019857306598422667
0.0001875,-0.0002884597008423574
0.00025,-0.00040049202091281273
0.0003125,-0.0005298551438959844
0.000375,-0.0006052288344241022
0.0004375,-0.0007412674294903989
0.0005,-0.0008042626620817517
0.0005625000000000001,-0.0009670460867959483
0.000625,-0.00100956280558
0.0006875,-0.0011904963039327187
0.00075,-0.0012157132401983443
0.0008125000000000001,-0.0014039228000487726
0.000875,-0.001420126243569474
0.0009375,-0.001635944088281998
0.001,-0.0016393136288720693
0.0010625,-0.0018375102472913247
0.0011250000000000001,-0.0018391115453854268
0.0011875,-0.0020658817570419837
0.00125,-0.002067017198404578
0.0013125,-0.002268725047752079
0.001375,-0.0022721383885468214
0.0014375,-0.0024835301470235655
0.0015,-0.002497556021708225
0.0015625,-0.0026871141128337345
0.0016250000000000001,-0.002710784640272614
0.0016875,-0.0028858659966231864
0.00175,-0.0029195083589053238
0.0018125,-0.003094287060583813
0.001875,-0.0031545239224220743
0.0019375,-0.003291294881566184
0.002,-0.0033563741468889273
0.0020625,-0.0034938055388215373
0.002125,-0.003593461636472992
0.0021875,-0.0036922999020216787
0.0022500000000000003,-0.0037944412993302923
0.0023125,-0.003888348866503265
0.002375,-0.004022780442728845
0.0024375,-0.004088465048841667
0.0025,-0.00423184229853232
0.0025625,-0.004282575858338294
0.002625,-0.004439356141243844
0.0026875000000000002,-0.004477646175450015
0.00275,-0.004656161449022152
0.0028125,-0.004677013636179573
0.002875,-0.004851746456182147
0.0029375,-0.004867773864875244
0.003,-0.005071916081731562
0.0030625,-0.005075375240281766
0.003125,-0.00525695339894254
0.0031875000000000002,-0.005259446939494555
0.0032500000000000003,-0.005467152335364537
0.0033125,-0.005467379279413706
0.003375,-0.005652157959504064
0.0034375,-0.005653332268270217
0.0035,-0.005843190203981426
0.0035625,-0.005848759710591249
0.003625,-0.006034796017865021
0.0036875000000000002,-0.0060496378958538564
0.00375,-0.006212092844243123
0.0038125,-0.006231088776424124
0.003875,-0.006397320747860025
0.0039375,-0.006434831318567277
0.004,-0.0065651453630243585
0.0040625,-0.006601976009889413
0.004125,-0.0067401317023711
0.0041875,-0.006802005155624731
0.00425,-0.0069048749445413385
0.0043125,-0.006965599370142149
0.004375,-0.007067490940791829
0.0044375000000000005,-0.007147990754768412
0.0045000000000000005,-0.007229923416314583
0.0045625,-0.00732096321305897
0.004625,-0.007386340499226318
0.0046875,-0.007481011379080221
0.00475,-0.007541950337818996
0.0048125,-0.007661418896203495
0.004875,-0.007698868350931374
0.0049375,-0.007808335834486462
0.005,-0.007846637376916763
0.0050625,-0.007987787568389615
0.005125,-0.008004722252442795
0.0051875,-0.008126594757688883
0.00525,-0.008143372980217493
0.0053125,-0.008285057549741329
0.0053750000000000004,-0.008292215296261379
0.0054375000000000005,-0.008429423676465337
0.0055,-0.008432675343723838
0.0055625,-0.008567111193013177
0.005625,-0.008568397212603253
0.0056875,-0.008709885618336164
0.00575,-0.008709994173149306
0.0058125,-0.008829591363673249
0.005875,-0.00882963875386274
0.0059375,-0.008967312485584363
0.006,-0.008971444816350042
0.0060625,-0.0090812216183201
0.006125,-0.009084537748949944
0.0061875,-0.009208593790649448
0.00625,-0.009220604096989509
0.0063125,-0.009321866529815495
0.0063750000000000005,-0.009335969694398944
0.0064375000000000005,-0.009431774221822384
0.006500000000000001,-0.009451132156681875
0.0065625,-0.00954031918249322
0.006625,-0.009568425701048305
0.0066875,-0.009638929147827201
0.00675,-0.00966486505060301
0.0068125,-0.009741372227051131
0.006875,-0.009784013347916603
0.0069375,-0.009836099004846917
0.007,-0.009871981529788278
0.0070625,-0.009930071257385969
0.007125,-0.00998423875513876
0.0071875,-0.010021223554787049
0.00725,-0.010068400985100315
0.0073125,-0.010105297088556484
0.0073750000000000005,-0.010161037152500555
0.0074375000000000005,-0.010190012217851608
0.0075,-0.010249936899797687
0.0075625,-0.01027146627868785
0.007625,-0.010329494090365146
0.0076875,-0.010350765249468003
0.00775,-0.010424327992822911
0.0078125,-0.010433745881759542
0.007875,-0.010492427693901086
0.0079375,-0.010505145059669244
0.008,-0.010582933458372839
0.0080625,-0.010586889801289323
0.008125,-0.010650332320036891
0.0081875,-0.0106555122987176
0.00825,-0.010732707634710193
0.0083125,-0.0107338674198598
0.008375,-0.010804686623365777
0.0084375,-0.010805034681096077
0.0085,-0.010871780065772805
0.0085625,-0.010872048263177917
0.008625,-0.01094937677202892
0.0086875,-0.010950026809122469
0.00875,-0.011012145665845206
0.008812500000000001,-0.011012334042599038
0.008875000000000001,-0.011089199975109945
0.008937500000000001,-0.011093092655282957
0.009000000000000001,-0.011151693239239806
0.0090625,-0.011153963089712397
0.009125,-0.01122585802264714
0.0091875,-0.011233904746546345
0.00925,-0.011294231754145664
0.0093125,-0.01130337363560098
0.009375,-0.011363610218862227
0.0094375,-0.011375800521839192
0.0095,-0.011438366938304908
0.0095625,-0.01145906386658571
0.009625,-0.01151023917007562
0.0096875,-0.01153060310248039
0.00975,-0.011590159589942885
0.0098125,-0.011627787209150683
0.009875,-0.011668134181074643
0.0099375,-0.0117018788243432
0.01,-0.011747969144564854
0.0100625,-0.011799485249289981
0.010125,-0.011830781174200925
0.0101875,-0.01188029047008143
0.01025,-0.011913204283116664
0.0103125,-0.011978056901039461
0.010375,-0.012003026781891477
