Time (s),Energy Decay (dB)
0.0,0.0
6.25e-05,-0.0003912290748373581
0.000125,-0.0008874920816717188
0.0001875,-0.0013696402142844577
0.00025,-0.0017777114533728657
0.0003125,-0.002332742579927339
0.000375,-0.002654661537029406
0.0004375,-0.003256175614733637
0.0005,-0.003523820810437737
0.0005625000000000001,-0.004219504803576956
0.000625,-0.004398157635132345
0.0006875,-0.005100586181603009
0.00075,-0.005244218020777458
0.0008125000000000001,-0.006040076824784897
0.000875,-0.006116569696331084
0.0009375,-0.006898216537087651
0.001,-0.006949340482185044
0.0010625,-0.007794052392567423
0.0011250000000000001,-0.0078114344721336645
0.0011875,-0.008646976376322696
0.00125,-0.00865048282554974
0.0013125,-0.00948314246950245
0.001375,-0.009483256181497108
0.0014375,-0.010329161637789618
0.0015,-0.010340749319067918
0.0015625,-0.011119286763863284
0.0016250000000000001,-0.011144080585880293
0.0016875,-0.011935928125766524
0.00175,-0.012003577267017531
0.0018125,-0.012701734812765953
0.001875,-0.0127952413791468
0.0019375,-0.013479429099123339
0.002,-0.0136366035188968
0.0020625,-0.014232559571578653
0.002125,-0.014436844480131524
0.0021875,-0.014973840414354244
0.0022500000000000003,-0.015239550099407691
0.0023125,-0.015709935034714653
0.002375,-0.0160474658281668
0.0024375,-0.016430529516768332
0.0025,-0.016811977293853118
0.0025625,-0.01715025854012646
0.002625,-0.017630245854076857
0.0026875000000000002,-0.01786973057297047
0.00275,-0.018371702115792636
0.0028125,-0.01857219323121844
0.002875,-0.019165885544077655
0.0029375,-0.019291613156141037
0.003,-0.01990502966982345
0.0030625,-0.01999272157708006
0.003125,-0.020664458375396922
0.0031875000000000002,-0.020710858096441003
0.0032500000000000003,-0.021418654908904176
0.0033125,-0.021435443085571788
0.003375,-0.022145766896068425
0.0034375,-0.022149989384035097
0.0035,-0.022902924135270484
0.0035625,-0.022904257993951117
0.003625,-0.02361659181903994
0.0036875000000000002,-0.02362473933491948
0.00375,-0.024376936851816813
0.0038125,-0.024416594100220183
0.003875,-0.025109505859821826
0.0039375,-0.025178834364376318
0.004,-0.025863633279423856
0.0040625,-0.025990334705396776
0.004125,-0.026622168981247807
0.0041875,-0.026812535695700277
0.00425,-0.027384402236057148
0.0043125,-0.027640967957327463
0.004375,-0.02817025610552555
0.0044375000000000005,-0.02853001014490851
0.0045000000000000005,-0.028964521666347567
0.0045625,-0.029389567077705105
0.004625,-0.029781956808739244
0.0046875,-0.030340792715134374
0.00475,-0.03062885327046334
0.0048125,-0.03125288897378271
0.004875,-0.031486851560390994
0.0049375,-0.03223338460338205
0.005,-0.03238836983381228
0.0050625,-0.033213668000534796
0.005125,-0.03331134062409666
0.0051875,-0.03421783039937142
0.00525,-0.034269841588993634
0.0053125,-0.03526774086920473
0.0053750000000000004,-0.03528167199855238
